event_type,client_timestamp_ms,server_timestamp,session_elapsed_sec,metadata_json
question_response,12156.5,1779276490.5459988,1.008,"{""question_id"": 1, ""difficulty"": ""kolay"", ""category"": ""U"", ""selected_answer"": 1, ""correct_answer"": 1, ""is_correct"": true, ""rt_ms"": 1003}"
question_onset,12162.300000000745,1779276490.549994,1.012,"{""question_id"": 2, ""difficulty"": ""kolay"", ""category"": ""U"", ""question_index"": 1}"
question_response,12694.5,1779276491.0781696,1.540,"{""question_id"": 2, ""difficulty"": ""kolay"", ""category"": ""U"", ""selected_answer"": 2, ""correct_answer"": 1, ""is_correct"": false, ""rt_ms"": 532}"
question_onset,12697.10000000149,1779276491.0805244,1.542,"{""question_id"": 4, ""difficulty"": ""kolay"", ""category"": ""U"", ""question_index"": 2}"
question_response,13147.0,1779276491.5305595,1.992,"{""question_id"": 4, ""difficulty"": ""kolay"", ""category"": ""U"", ""selected_answer"": 3, ""correct_answer"": 1, ""is_correct"": false, ""rt_ms"": 450}"
stimulus_onset,13148.900000002235,1779276491.5338748,1.995,"{""question_id"": 11, ""stim_type"": ""simple"", ""stim_dur"": 2000}"
stimulus_offset,15162.400000002235,1779276493.5479667,4.010,"{""question_id"": 11}"
question_onset,15166.699999999255,1779276493.5541823,4.016,"{""question_id"": 11, ""difficulty"": ""kolay"", ""category"": ""B"", ""question_index"": 3}"
question_response,15827.60000000149,1779276494.2116299,4.673,"{""question_id"": 11, ""difficulty"": ""kolay"", ""category"": ""B"", ""selected_answer"": 0, ""correct_answer"": 0, ""is_correct"": true, ""rt_ms"": 661}"
stimulus_onset,15829.300000000745,1779276494.2139738,4.676,"{""question_id"": 13, ""stim_type"": ""simple"", ""stim_dur"": 2000}"
stimulus_offset,17833.60000000149,1779276496.224658,6.686,"{""question_id"": 13}"
question_onset,17836.400000002235,1779276496.2296734,6.691,"{""question_id"": 13, ""difficulty"": ""kolay"", ""category"": ""B"", ""question_index"": 4}"
question_response,18291.400000002235,1779276496.674805,7.136,"{""question_id"": 13, ""difficulty"": ""kolay"", ""category"": ""B"", ""selected_answer"": 0, ""correct_answer"": 0, ""is_correct"": true, ""rt_ms"": 455}"
stimulus_onset,18293.400000002235,1779276496.6783044,7.140,"{""question_id"": 14, ""stim_type"": ""sequence"", ""stim_dur"": 6000}"
stimulus_offset,24300.800000000745,1779276503.0026615,13.464,"{""question_id"": 14}"
question_onset,24306.699999999255,1779276503.005749,13.467,"{""question_id"": 14, ""difficulty"": ""kolay"", ""category"": ""B"", ""question_index"": 5}"
question_response,25043.199999999255,1779276503.4274566,13.889,"{""question_id"": 14, ""difficulty"": ""kolay"", ""category"": ""B"", ""selected_answer"": 2, ""correct_answer"": 2, ""is_correct"": true, ""rt_ms"": 736}"
stimulus_onset,25045.699999999255,1779276503.4294045,13.891,"{""question_id"": 15, ""stim_type"": ""nback"", ""stim_dur"": 8000}"
stimulus_offset,33052.5,1779276511.4415684,21.903,"{""question_id"": 15}"
question_onset,33054.800000000745,1779276511.446584,21.908,"{""question_id"": 15, ""difficulty"": ""kolay"", ""category"": ""B"", ""question_index"": 6}"
question_response,36411.10000000149,1779276514.7959032,25.257,"{""question_id"": 15, ""difficulty"": ""kolay"", ""category"": ""B"", ""selected_answer"": 1, ""correct_answer"": 1, ""is_correct"": true, ""rt_ms"": 3356}"
stimulus_onset,36413.400000002235,1779276514.7988966,25.260,"{""question_id"": 16, ""stim_type"": ""simple"", ""stim_dur"": 2000}"
stimulus_offset,38418.60000000149,1779276516.8037145,27.265,"{""question_id"": 16}"
question_onset,38422.800000000745,1779276516.8079746,27.270,"{""question_id"": 16, ""difficulty"": ""kolay"", ""category"": ""B"", ""question_index"": 7}"
question_response,39123.900000002235,1779276517.5081303,27.970,"{""question_id"": 16, ""difficulty"": ""kolay"", ""category"": ""B"", ""selected_answer"": 0, ""correct_answer"": 1, ""is_correct"": false, ""rt_ms"": 701}"
block_end,39124.400000002235,1779276517.5101295,27.972,"{""difficulty"": ""kolay"", ""difficulty_index"": 0}"
nasa_eeg_pause_start,39131.5,1779276517.5166197,27.978,"{""difficulty"": ""kolay"", ""countdown_duration_sec"": 30}"
nasa_onset,39132.0,1779276517.5198574,27.981,"{""difficulty"": ""kolay""}"
nasa_eeg_pause_start,39132.400000002235,1779276517.522096,27.984,"{""difficulty"": ""kolay"", ""countdown_duration_sec"": 30}"
nasa_eeg_pause_end,69236.5,1779276547.622952,58.084,"{""difficulty"": ""kolay"", ""auto_submitted"": true, ""touched_count"": 6, ""rtlx_score"": 33.33}"
nasa_submit,69237.30000000075,1779276547.627538,58.089,"{""difficulty"": ""kolay"", ""rtlx_score"": 33.33, ""auto_submitted"": true, ""touched_count"": 6}"
question_onset,69243.5,1779276547.6381721,58.100,"{""question_id"": 5, ""difficulty"": ""orta"", ""category"": ""U"", ""question_index"": 0}"
block_start,69244.30000000075,1779276547.642865,58.104,"{""difficulty"": ""orta"", ""difficulty_index"": 1, ""total_questions"": 7}"
block_start,69242.90000000224,1779276547.6468875,58.108,"{""difficulty"": ""orta"", ""difficulty_index"": 1, ""total_questions"": 7}"
